Statistics_Flights_Cancelled,Time_Label
19813,2014/01
18492,2010/02
16312,2007/02
16212,2014/02
15603,2005/01
14051,2011/02
13787,2015/02
13430,2011/01
13347,2010/12
13318,2007/12
12854,2008/02
12137,2004/09
11595,2006/12
11232,2007/03
11146,2012/10
11095,2007/06
10953,2008/12
10904,2008/01
10886,2004/01
10192,2011/08
9781,2008/03
9669,2009/12
9367,2013/12
9288,2007/01
8796,2016/01
8730,2007/07
8518,2005/07
8329,2015/01
8289,2004/12
8005,2003/12
7967,2005/08
7885,2010/01
7855,2007/08
7768,2006/02
7717,2009/01
7607,2009/03
7546,2015/03
7492,2005/10
7397,2013/02
7331,2007/04
7295,2008/06
7163,2006/10
7116,2008/07
7045,2008/04
7008,2006/07
6979,2005/09
6928,2011/05
6810,2005/12
6798,2004/08
6583,2008/08
6509,2014/03
6500,2006/06
6468,2004/07
6457,2013/06
6443,2013/07
6394,2006/09
6375,2006/01
6311,2014/06
6303,2011/07
6278,2004/05
6273,2006/08
6262,2005/06
6259,2011/04
6169,2005/03
6132,2011/06
6108,2014/05
6067,2013/04
6039,2015/06
6031,2006/11
6021,2013/03
5981,2003/08
5832,2005/02
5759,2004/02
5711,2008/09
5528,2009/06
5525,2014/07
5423,2010/06
5375,2010/03
5337,2004/06
5331,2010/07
5226,2015/12
5190,2003/09
5184,2012/07
5138,2009/04
4947,2012/12
4891,2003/07
4873,2006/03
4813,2007/10
4808,2004/03
4779,2003/11
4765,2012/01
4664,2013/01
4616,2005/04
4563,2012/08
4517,2006/05
4478,2009/07
4465,2007/05
4445,2004/11
4333,2011/03
4286,2010/05
4245,2014/09
4181,2008/05
4168,2007/09
4164,2009/02
4087,2014/12
4058,2007/11
3978,2006/04
3974,2004/10
3924,2012/06
3844,2013/05
3705,2009/08
3701,2014/08
3635,2010/08
3589,2012/11
3582,2005/05
3571,2015/05
3497,2012/03
3496,2014/04
3472,2013/08
3372,2009/10
3368,2010/10
3358,2005/11
3327,2015/08
3319,2013/11
3264,2003/10
3246,2009/05
3214,2014/10
3199,2015/07
3194,2012/04
3071,2010/09
3002,2012/02
2993,2008/11
2962,2015/04
2914,2013/09
2902,2012/05
2867,2015/11
2781,2012/09
2761,2004/04
2705,2011/09
2687,2014/11
2632,2011/10
2488,2003/06
2480,2010/11
2413,2011/12
2325,2010/04
2234,2008/10
2089,2011/11
2089,2013/10
1921,2009/09
1796,2009/11
1534,2015/10
1383,2015/09
